nodeId1,portId1,nodeId2,portId2,bandwidth,delay
55,0,518,7,400Gbps,1ns
55,1,582,7,400Gbps,1ns
55,2,646,7,400Gbps,1ns
55,3,710,7,400Gbps,1ns
55,4,774,7,400Gbps,1ns
55,5,838,7,400Gbps,1ns
55,6,902,7,400Gbps,1ns
55,7,966,7,400Gbps,1ns
56,0,519,0,400Gbps,1ns
56,1,583,0,400Gbps,1ns
56,2,647,0,400Gbps,1ns
56,3,711,0,400Gbps,1ns
56,4,775,0,400Gbps,1ns
56,5,839,0,400Gbps,1ns
56,6,903,0,400Gbps,1ns
56,7,967,0,400Gbps,1ns
57,0,519,1,400Gbps,1ns
57,1,583,1,400Gbps,1ns
57,2,647,1,400Gbps,1ns
57,3,711,1,400Gbps,1ns
57,4,775,1,400Gbps,1ns
57,5,839,1,400Gbps,1ns
57,6,903,1,400Gbps,1ns
57,7,967,1,400Gbps,1ns
58,0,519,2,400Gbps,1ns
58,1,583,2,400Gbps,1ns
58,2,647,2,400Gbps,1ns
58,3,711,2,400Gbps,1ns
58,4,775,2,400Gbps,1ns
58,5,839,2,400Gbps,1ns
58,6,903,2,400Gbps,1ns
58,7,967,2,400Gbps,1ns
59,0,519,3,400Gbps,1ns
59,1,583,3,400Gbps,1ns
59,2,647,3,400Gbps,1ns
59,3,711,3,400Gbps,1ns
59,4,775,3,400Gbps,1ns
59,5,839,3,400Gbps,1ns
59,6,903,3,400Gbps,1ns
59,7,967,3,400Gbps,1ns
60,0,519,4,400Gbps,1ns
60,1,583,4,400Gbps,1ns
60,2,647,4,400Gbps,1ns
60,3,711,4,400Gbps,1ns
60,4,775,4,400Gbps,1ns
60,5,839,4,400Gbps,1ns
60,6,903,4,400Gbps,1ns
60,7,967,4,400Gbps,1ns
61,0,519,5,400Gbps,1ns
61,1,583,5,400Gbps,1ns
61,2,647,5,400Gbps,1ns
61,3,711,5,400Gbps,1ns
61,4,775,5,400Gbps,1ns
61,5,839,5,400Gbps,1ns
61,6,903,5,400Gbps,1ns
61,7,967,5,400Gbps,1ns
62,0,519,6,400Gbps,1ns
62,1,583,6,400Gbps,1ns
62,2,647,6,400Gbps,1ns
62,3,711,6,400Gbps,1ns
62,4,775,6,400Gbps,1ns
62,5,839,6,400Gbps,1ns
62,6,903,6,400Gbps,1ns
62,7,967,6,400Gbps,1ns
63,0,519,7,400Gbps,1ns
63,1,583,7,400Gbps,1ns
63,2,647,7,400Gbps,1ns
63,3,711,7,400Gbps,1ns
63,4,775,7,400Gbps,1ns
63,5,839,7,400Gbps,1ns
63,6,903,7,400Gbps,1ns
63,7,967,7,400Gbps,1ns
64,0,520,0,400Gbps,1ns
64,1,584,0,400Gbps,1ns
64,2,648,0,400Gbps,1ns
64,3,712,0,400Gbps,1ns
64,4,776,0,400Gbps,1ns
64,5,840,0,400Gbps,1ns
64,6,904,0,400Gbps,1ns
64,7,968,0,400Gbps,1ns
65,0,520,1,400Gbps,1ns
65,1,584,1,400Gbps,1ns
65,2,648,1,400Gbps,1ns
65,3,712,1,400Gbps,1ns
65,4,776,1,400Gbps,1ns
65,5,840,1,400Gbps,1ns
65,6,904,1,400Gbps,1ns
65,7,968,1,400Gbps,1ns
66,0,520,2,400Gbps,1ns
66,1,584,2,400Gbps,1ns
66,2,648,2,400Gbps,1ns
66,3,712,2,400Gbps,1ns
66,4,776,2,400Gbps,1ns
66,5,840,2,400Gbps,1ns
66,6,904,2,400Gbps,1ns
66,7,968,2,400Gbps,1ns
67,0,520,3,400Gbps,1ns
67,1,584,3,400Gbps,1ns
67,2,648,3,400Gbps,1ns
67,3,712,3,400Gbps,1ns
67,4,776,3,400Gbps,1ns
67,5,840,3,400Gbps,1ns
67,6,904,3,400Gbps,1ns
67,7,968,3,400Gbps,1ns
68,0,520,4,400Gbps,1ns
68,1,584,4,400Gbps,1ns
68,2,648,4,400Gbps,1ns
68,3,712,4,400Gbps,1ns
68,4,776,4,400Gbps,1ns
68,5,840,4,400Gbps,1ns
68,6,904,4,400Gbps,1ns
68,7,968,4,400Gbps,1ns
69,0,520,5,400Gbps,1ns
69,1,584,5,400Gbps,1ns
69,2,648,5,400Gbps,1ns
69,3,712,5,400Gbps,1ns
69,4,776,5,400Gbps,1ns
69,5,840,5,400Gbps,1ns
69,6,904,5,400Gbps,1ns
69,7,968,5,400Gbps,1ns
70,0,520,6,400Gbps,1ns
70,1,584,6,400Gbps,1ns
70,2,648,6,400Gbps,1ns
70,3,712,6,400Gbps,1ns
70,4,776,6,400Gbps,1ns
70,5,840,6,400Gbps,1ns
70,6,904,6,400Gbps,1ns
70,7,968,6,400Gbps,1ns
71,0,520,7,400Gbps,1ns
71,1,584,7,400Gbps,1ns
71,2,648,7,400Gbps,1ns
71,3,712,7,400Gbps,1ns
71,4,776,7,400Gbps,1ns
71,5,840,7,400Gbps,1ns
71,6,904,7,400Gbps,1ns
71,7,968,7,400Gbps,1ns
72,0,521,0,400Gbps,1ns
72,1,585,0,400Gbps,1ns
72,2,649,0,400Gbps,1ns
72,3,713,0,400Gbps,1ns
72,4,777,0,400Gbps,1ns
72,5,841,0,400Gbps,1ns
72,6,905,0,400Gbps,1ns
72,7,969,0,400Gbps,1ns
73,0,521,1,400Gbps,1ns
73,1,585,1,400Gbps,1ns
73,2,649,1,400Gbps,1ns
73,3,713,1,400Gbps,1ns
73,4,777,1,400Gbps,1ns
73,5,841,1,400Gbps,1ns
73,6,905,1,400Gbps,1ns
73,7,969,1,400Gbps,1ns
